"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.67","","","","2"
"1991-12","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.84","","","t","2"
"1992-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.08","","","","2"
"1992-01","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.71","","","t","2"
"1992-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.56","","","","2"
"1992-02","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.68","","","t","2"
"1992-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.65","","","","2"
"1992-03","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","10.06","","","t","2"
"1992-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.85","","","","2"
"1992-04","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","10.37","","","t","2"
"1992-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.50","","","","2"
"1992-05","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","10.14","","","t","2"
"1992-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.91","","","","2"
"1992-06","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.72","","","t","2"
"1992-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.50","","","","2"
"1992-07","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.26","","","t","2"
"1992-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.11","","","","2"
"1992-08","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","8.72","","","t","2"
"1992-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.69","","","","2"
"1992-09","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","8.54","","","t","2"
"1992-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.37","","","","2"
"1992-10","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.23","","","t","2"
"1992-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","8.82","","","","2"
"1992-11","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.33","","","t","2"
"1992-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.36","","","","2"
"1992-12","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.48","","","t","2"
"1993-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.81","","","","2"
"1993-01","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.47","","","t","2"
"1993-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.09","","","","2"
"1993-02","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","9.44","","","t","2"
"1993-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.36","","","","2"
"1993-03","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","8.97","","","t","2"
"1993-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.60","","","","2"
"1993-04","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","8.89","","","t","2"
"1993-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.10","","","","2"
"1993-05","Canada","2016A000011124","Average residential mortgage lending rate: 5 year","Percent","239","units ","0","v122497","1.69","8.88","","","t","2"
"1993-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.79","","","","2"
