"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","Type of mortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Total, mortgages","Dollars","81","millions","6","v36469","1.2.7.1","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, insured","Dollars","81","millions","6","v36484","1.2.7.3","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, uninsured","Dollars","81","millions","6","v36499","1.2.7.4","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36435","1.2.7.6","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, farm mortgages","Dollars","81","millions","6","v36450","1.2.7.7","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Total, mortgages","Dollars","81","millions","6","v36470","1.2.8.1","533","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Residential mortgages, insured","Dollars","81","millions","6","v36485","1.2.8.3","125","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Residential mortgages, uninsured","Dollars","81","millions","6","v36500","1.2.8.4","354","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36436","1.2.8.6","53","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Non-residential, farm mortgages","Dollars","81","millions","6","v36451","1.2.8.7","1","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Total, mortgages","Dollars","81","millions","6","v36471","1.2.9.1","1262","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Residential mortgages, insured","Dollars","81","millions","6","v36486","1.2.9.3","712","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Residential mortgages, uninsured","Dollars","81","millions","6","v36422","1.2.9.4","441","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36437","1.2.9.6","85","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Non-residential, farm mortgages","Dollars","81","millions","6","v36452","1.2.9.7","23","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Total, mortgages","Dollars","81","millions","6","v36472","1.2.10.1","1001","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Residential mortgages, insured","Dollars","81","millions","6","v36487","1.2.10.3","571","","","","0"
