"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.00","","","","2"
"1992-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.08","","","","2"
"1992-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.50","","","","2"
"1992-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.56","","","","2"
"1992-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.50","","","","2"
"1992-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.65","","","","2"
"1992-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.25","","","","2"
"1992-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.85","","","","2"
"1992-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.75","","","","2"
"1992-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.50","","","","2"
"1992-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.50","","","","2"
"1992-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.91","","","","2"
"1992-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.00","","","","2"
"1992-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.50","","","","2"
"1992-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1992-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.11","","","","2"
"1992-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1992-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.69","","","","2"
"1992-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.25","","","","2"
"1992-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.37","","","","2"
"1992-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.75","","","","2"
"1992-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","8.82","","","","2"
"1992-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","9.75","","","","2"
"1992-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.36","","","","2"
"1992-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.25","","","","2"
"1993-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.81","","","","2"
"1993-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1993-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.09","","","","2"
"1993-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1993-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.36","","","","2"
"1993-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.00","","","","2"
"1993-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.60","","","","2"
"1993-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.00","","","","2"
"1993-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.10","","","","2"
"1993-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.00","","","","2"
"1993-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.79","","","","2"
"1993-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.00","","","","2"
"1993-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.41","","","","2"
"1993-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.75","","","","2"
"1993-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.90","","","","2"
"1993-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.75","","","","2"
"1993-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.90","","","","2"
"1993-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.75","","","","2"
"1993-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.63","","","","2"
"1993-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.75","","","","2"
"1993-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.36","","","","2"
"1993-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.50","","","","2"
"1993-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.11","","","","2"
"1993-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.50","","","","2"
"1994-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.88","","","","2"
"1994-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.50","","","","2"
"1994-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.10","","","","2"
"1994-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.50","","","","2"
"1994-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.64","","","","2"
"1994-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.25","","","","2"
"1994-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.07","","","","2"
"1994-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1994-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.31","","","","2"
"1994-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1994-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.92","","","","2"
